"Study","Study.year","Study.month","Duration.month","Latitude","Longitude","Family","Species","Herbivore","N.species","Leaf.age","No.plants","No.leaves","Units","damage","Region"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus trichocerasa","all",1,"Mature",1,50,50,0.011584943,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus trichocerasa","all",1,"Mature",1,50,50,0.017422073,"Asia"
"10.1111/jbi.14686",2020,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus conocephalifolia","all",1,"Mature",1,50,50,0.042061837,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus conocephalifolia","all",1,"Mature",1,50,50,0.053029341,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus badiopurpurea","all",1,"Mature",1,50,50,0.035333971,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus badiopurpurea","all",1,"Mature",1,50,50,0.052481317,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus conocephalifolia","all",1,"Mature",1,50,50,0.048565607,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus conocephalifolia","all",1,"Mature",1,50,50,0.023464281,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus hahliana","all",1,"Mature",1,50,50,0.005329909,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus hahliana","all",1,"Mature",1,50,50,0.01168059,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus trichocerasa","all",1,"Mature",1,50,50,0.06703156,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus trichocerasa","all",1,"Mature",1,50,50,0.069224631,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus conocephalifolia","all",1,"Mature",1,50,50,0.011185622,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus conocephalifolia","all",1,"Mature",1,50,50,0.057173864,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus hombroniana","all",1,"Mature",1,50,50,0.011163942,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus hombroniana","all",1,"Mature",1,50,50,0.009037005,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus arfakensis","all",1,"Mature",1,50,50,0.025570562,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus arfakensis","all",1,"Mature",1,50,50,0.019638525,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus arfakensis","all",1,"Mature",1,50,50,0.008556816,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus arfakensis","all",1,"Mature",1,50,50,0.011951542,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus trichocerasa","all",1,"Mature",1,50,50,0.038187095,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus trichocerasa","all",1,"Mature",1,50,50,0.011531124,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus subcuneata","all",1,"Mature",1,50,50,0.015604871,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus subcuneata","all",1,"Mature",1,50,50,0.034330738,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus subcuneata","all",1,"Mature",1,50,50,0.014830567,"Asia"
