"doi","study.year","latitude","longitude","elevation","MAT","MAP","soil.ph","litter.species","duration","nf","nc","kf","kc","sdf","sdc","yi","vi","invert.effect","weight","Region"
"10.1111/j.1461-0248.2012.01826.x",2007,5.3,-52.917,"45",25.1,2905,4.58,"Diplotropis purpurea",0.68,5,5,1.611,3.367,0.878774715,2.457438707,0.737167036,0.166049689,0.521532522,2.5,"Americas"
"10.1111/j.1461-0248.2012.01826.x",2007,5.3,-52.917,"45",25.1,2905,4.58,"Eperua falcata",0.68,5,5,1.592,3.7,0.174413302,1.471332729,0.843341732,0.034026804,0.56972973,2.5,"Americas"
"10.1111/j.1461-0248.2012.01826.x",2007,5.3,-52.917,"45",25.1,2905,4.58,"Vaccinium vitisidaea",0.68,5,5,1.592,5.172,0.525475975,2.455202639,1.178268373,0.066859626,0.692188708,2.5,"Americas"
"10.1111/j.1461-0248.2012.01826.x",2007,5.3,-52.917,"45",25.1,2905,4.58,"Pistacia terebinthus",0.68,5,5,1.778,3.749,0.395784032,1.229837388,0.746000001,0.031432802,0.525740197,2.5,"Americas"
"10.1111/j.1461-0248.2012.01826.x",2007,5.3,-52.917,"45",25.1,2905,4.58,"Qualea rosea",0.68,5,5,2.445,3.71,0.460630003,1.491457341,0.416986754,0.039421084,0.34097035,2.5,"Americas"
"10.1111/j.1461-0248.2012.01826.x",2007,5.3,-52.917,"45",25.1,2905,4.58,"Fagus sylvatica",0.68,5,5,2.357,3.514,0.592558014,1.249961999,0.399365366,0.037946544,0.329254411,2.5,"Americas"
"10.1111/j.1461-0248.2012.01826.x",2007,5.3,-52.917,"45",25.1,2905,4.58,"Quercus ilex",0.68,5,5,2.739,5.643,0.746846704,1.929726665,0.722822949,0.038258381,0.514619883,2.5,"Americas"
"10.1111/j.1461-0248.2012.01826.x",2007,5.3,-52.917,"45",25.1,2905,4.58,"Salix cinerea",0.68,5,5,3.112,3.897,1.929726665,0.986105978,0.22494142,0.089708931,0.201437003,2.5,"Americas"
"10.1007/s11258-012-0089-2",2003,-22.55,-50.367,"670",21,1400,5.35,"Laurus nobilis",0.75,3,3,1.68265,2.01845,0.166938851,0.184854267,0.181959959,0.00607677,0.16636528,1.5,"Americas"
"10.1007/s11258-012-0089-2",2003,-22.55,-50.367,"670",21,1400,5.35,"Laurus nobilis",0.75,3,3,2.1827,2.2265,0.216549746,0.203907962,0.019868203,0.00607677,0.019672131,1.5,"Americas"
